date,Poland,Bangladesh
2020-12-26,1253957,507265
2020-12-27,1257799,508099
2020-12-28,1261010,509148
2020-12-29,1268634,510080
2020-12-30,1281414,511261
2020-12-31,1294878,512496
2021-01-01,1305774,513510
2021-01-02,1312780,514500
2021-01-03,1318562,515184
2021-01-04,1322947,516019
2021-01-05,1330543,516929
2021-01-06,1344763,517920
2021-01-07,1356882,518898
2021-01-08,1365645,519905
2021-01-09,1376389,520690
2021-01-10,1385522,521382
2021-01-11,1390385,522453
2021-01-12,1395779,523302
2021-01-13,1404905,524020
2021-01-14,1414362,524910
2021-01-15,1422320,525723
2021-01-16,1429612,526485
2021-01-17,1435582,527063
2021-01-18,1438914,527632
2021-01-19,1443804,528329
2021-01-20,1450747,529031
2021-01-21,1457755,529687
2021-01-22,1464448,530271
2021-01-23,1470879,530890
2021-01-24,1475445,531326
2021-01-25,1478119,531799
2021-01-26,1482722,532401
2021-01-27,1489512,532916
2021-01-28,1496665,533444
2021-01-29,1502810,533953
2021-01-30,1508674,534407
2021-01-31,1513385,534770
2021-02-01,1515889,535139
2021-02-02,1520215,535582
2021-02-03,1527016,536107
2021-02-04,1533511,536545
2021-02-05,1539564,537030
2021-02-06,1545530,537465
2021-02-07,1550255,537770
2021-02-08,1552686,538062
2021-02-09,1556685,538378
2021-02-10,1563645,538765
2021-02-11,1570658,539153
2021-02-12,1577036,539531
2021-02-13,1583621,539975
2021-02-14,1588955,540266
2021-02-15,1591497,540592
2021-02-16,1596673,541038
2021-02-17,1605372,541434
2021-02-18,1614446,541877
2021-02-19,1623218,542268
2021-02-20,1631727,542674
2021-02-21,1638767,543024
2021-02-22,1642658,543351
2021-02-23,1648962,543717
2021-02-24,1661109,544116
2021-02-25,1673252,544544
2021-02-26,1684788,544954
2021-02-27,1696885,545424
2021-02-28,1706986,545831
2021-03-01,1711772,546216
2021-03-02,1719708,546801
2021-03-03,1735406,547316
2021-03-04,1750659,547930
2021-03-05,1766490,548549
2021-03-06,1781345,549184
2021-03-07,1794914,549724
2021-03-08,1801083,550330
2021-03-09,1811036,551175
2021-03-10,1828313,552087
2021-03-11,1849424,553105
2021-03-12,1868297,554156
2021-03-13,1889360,555222
2021-03-14,1906632,556236
2021-03-15,1917527,557395
2021-03-16,1931921,559168
2021-03-17,1956974,560887
2021-03-18,1984248,562752
2021-03-19,2010244,564939
2021-03-20,2036700,566838
2021-03-21,2058550,568706
2021-03-22,2073129,570878
2021-03-23,2089869,573687
2021-03-24,2120671,577241
2021-03-25,2154821,580808
2021-03-26,2189966,584395
2021-03-27,2221725,588132
2021-03-28,2250991,591806
2021-03-29,2267964,595714
2021-03-30,2288826,600895
2021-03-31,2321717,605937
2021-04-01,2356970,611295
2021-04-02,2387511,617764
2021-04-03,2415584,624594
2021-04-04,2438542,630277
2021-04-05,2448463,637364
2021-04-06,2456709,644439
2021-04-07,2471617,651652
,,
,,
,,
,,
